date,new_cases,new_cases_smoothed,new_tests,positive_rate,stringency_index
2021-01-01,0.0,28838.71,386001.0,0.07,47.69
2021-01-02,0.0,28838.71,,0.07,47.69
2021-01-03,186539.0,26648.43,,0.08,47.69
2021-01-04,0.0,26648.43,217791.0,0.08,47.69
2021-01-05,0.0,26648.43,268620.0,0.08,50.46
2021-01-06,0.0,26648.43,300065.0,0.09,50.46
2021-01-07,0.0,26648.43,330412.0,0.09,50.46
2021-01-08,0.0,26648.43,268668.0,0.1,50.46
2021-01-09,0.0,26648.43,342405.0,0.09,50.46
2021-01-10,165167.0,23595.29,383652.0,0.08,50.46
2021-01-11,0.0,23595.29,326357.0,0.07,50.46
2021-01-12,0.0,23595.29,341381.0,0.07,50.46
2021-01-13,0.0,23595.29,465028.0,0.07,50.46
2021-01-14,0.0,23595.29,531024.0,0.06,50.46
2021-01-15,0.0,23595.29,583820.0,0.05,50.46
2021-01-16,0.0,23595.29,478817.0,0.05,50.46
2021-01-17,166255.0,23750.71,373123.0,0.05,50.46
2021-01-18,0.0,23750.71,257909.0,0.05,50.46
2021-01-19,0.0,23750.71,320711.0,0.05,50.46
2021-01-20,0.0,23750.71,410533.0,0.05,50.46
2021-01-21,0.0,23750.71,456736.0,0.05,50.46
2021-01-22,0.0,23750.71,436520.0,0.06,50.46
2021-01-23,0.0,23750.71,441206.0,0.06,50.46
2021-01-24,151191.0,21598.71,335236.0,0.06,50.46
2021-01-25,0.0,21598.71,292367.0,0.05,50.46
2021-01-26,0.0,21598.71,342015.0,0.05,50.46
2021-01-27,0.0,21598.71,397080.0,0.05,50.46
2021-01-28,0.0,21598.71,411272.0,0.05,50.46
2021-01-29,0.0,21598.71,423497.0,0.05,50.46
2021-01-30,0.0,21598.71,414747.0,0.05,46.76
2021-01-31,131039.0,18719.86,333065.0,0.05,46.76
2021-02-01,0.0,18719.86,201301.0,0.05,45.83
2021-02-02,0.0,18719.86,287056.0,0.05,45.83
2021-02-03,0.0,18719.86,382721.0,0.05,45.83
2021-02-04,0.0,18719.86,458537.0,0.05,45.83
2021-02-05,0.0,18719.86,,0.05,45.83
2021-02-06,0.0,18719.86,,0.05,45.83
2021-02-07,116842.0,16691.71,,0.05,45.83
2021-02-08,0.0,16691.71,,0.04,45.83
2021-02-09,0.0,16691.71,,0.04,45.83
2021-02-10,0.0,16691.71,,0.04,45.83
2021-02-11,0.0,16691.71,399477.0,0.05,45.83
2021-02-12,0.0,16691.71,,0.04,45.83
2021-02-13,0.0,16691.71,,0.04,45.83
2021-02-14,104602.0,14943.14,299935.0,0.04,45.83
2021-02-15,0.0,14943.14,204488.0,0.05,45.83
2021-02-16,0.0,14943.14,277571.0,0.04,45.83
2021-02-17,0.0,14943.14,363166.0,0.04,45.83
2021-02-18,0.0,14943.14,374563.0,0.04,45.83
2021-02-19,0.0,14943.14,365425.0,0.04,45.83
2021-02-20,0.0,14943.14,368826.0,0.04,45.83
2021-02-21,92843.0,13263.29,341426.0,0.04,45.83
2021-02-22,0.0,13263.29,225305.0,0.04,45.83
2021-02-23,0.0,13263.29,202632.0,0.04,45.83
2021-02-24,0.0,13263.29,162804.0,0.04,45.83
2021-02-25,0.0,13263.29,265528.0,0.04,45.83
2021-02-26,0.0,13263.29,364693.0,0.04,45.83
2021-02-27,0.0,13263.29,397611.0,0.04,45.83
2021-02-28,81353.0,11621.86,314393.0,0.04,45.83
2021-03-01,0.0,11621.86,203520.0,0.04,45.83
2021-03-02,0.0,11621.86,285119.0,0.04,45.83
