,gt_covid_symptoms,gt_loss_of_smell,gt_loss_of_taste,gt_fever,gt_cough,gt_pcr_test,gt_pcr_take,gt_antigen_test,gt_hospitalization,gt_hospital,gt_vaccine,gt_vaccination,gt_self_isolation,gt_lockdown,gt_qr_code
2020-12-27,6.976744186046512,2.3255813953488373,0.0,0.0,0.0,2.3255813953488373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3255813953488373,2.3255813953488373
2020-12-28,6.954092419208698,1.993355481727575,0.0,0.0,0.0,2.3180308064028994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3180308064028994,2.3180308064028994
2020-12-29,6.931440652370885,1.6611295681063125,0.0,0.0,0.0,2.310480217456962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.310480217456962,2.310480217456962
2020-12-30,6.908788885533071,1.3289036544850499,0.0,0.0,0.0,2.302929628511024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.302929628511024,2.302929628511024
2020-12-31,6.886137118695258,0.9966777408637875,0.0,0.0,0.0,2.2953790395650864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2953790395650864,2.2953790395650864
2021-01-01,6.863485351857444,0.6644518272425248,0.0,0.0,0.0,2.2878284506191484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2878284506191484,2.2878284506191484
2021-01-02,6.840833585019631,0.3322259136212624,0.0,0.0,0.0,2.280277861673211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.280277861673211,2.280277861673211
2021-01-03,6.8181818181818175,0.0,0.0,0.0,0.0,2.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.272727272727273,2.272727272727273
2021-01-04,6.616356616356616,0.0,0.0,0.0,0.0,2.3341523341523343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3341523341523343,2.3341523341523343
2021-01-05,6.414531414531414,0.0,0.0,0.0,0.0,2.3955773955773956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3955773955773956,2.3955773955773956
2021-01-06,6.2127062127062125,0.0,0.0,0.0,0.0,2.457002457002457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.457002457002457,2.457002457002457
2021-01-07,6.01088101088101,0.0,0.0,0.0,0.0,2.5184275184275187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5184275184275187,2.5184275184275187
2021-01-08,5.809055809055809,0.0,0.0,0.0,0.0,2.57985257985258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57985257985258,2.57985257985258
2021-01-09,5.607230607230607,0.0,0.0,0.0,0.0,2.6412776412776413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6412776412776413,2.6412776412776413
2021-01-10,5.405405405405405,0.0,0.0,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,2.7027027027027026
