date,retail_mobility,transit_mobility,workplaces_mobility,residential_mobility
2021-01-01,-74.0,-63.0,-88.0,28.0
2021-01-02,-52.0,-38.0,-57.0,9.0
2021-01-03,-39.0,-21.0,-24.0,1.0
2021-01-04,-27.0,-41.0,-73.0,18.0
2021-01-05,-27.0,-40.0,-72.0,17.0
2021-01-06,-27.0,-40.0,-71.0,17.0
2021-01-07,-33.0,-46.0,-77.0,20.0
2021-01-08,-36.0,-44.0,-71.0,20.0
2021-01-09,-38.0,-29.0,-29.0,6.0
2021-01-10,-37.0,-27.0,-11.0,4.0
2021-01-11,-34.0,-27.0,-22.0,9.0
2021-01-12,-32.0,-27.0,-22.0,8.0
2021-01-13,-33.0,-28.0,-23.0,7.0
2021-01-14,-36.0,-31.0,-26.0,7.0
2021-01-15,-37.0,-29.0,-26.0,7.0
2021-01-16,-35.0,-30.0,-20.0,5.0
2021-01-17,-33.0,-24.0,-15.0,2.0
2021-01-18,-33.0,-25.0,-25.0,6.0
2021-01-19,-32.0,-25.0,-25.0,6.0
2021-01-20,-31.0,-23.0,-25.0,6.0
2021-01-21,-32.0,-27.0,-25.0,6.0
2021-01-22,-34.0,-23.0,-24.0,7.0
2021-01-23,-32.0,-20.0,-16.0,3.0
2021-01-24,-32.0,-22.0,-13.0,1.0
2021-01-25,-30.0,-22.0,-23.0,6.0
2021-01-26,-30.0,-23.0,-23.0,6.0
2021-01-27,-27.0,-20.0,-23.0,6.0
2021-01-28,-28.0,-22.0,-23.0,6.0
2021-01-29,-29.0,-20.0,-22.0,6.0
2021-01-30,-25.0,-17.0,-15.0,2.0
2021-01-31,-27.0,-16.0,-12.0,0.0
2021-02-01,-29.0,-20.0,-22.0,6.0
2021-02-02,-28.0,-19.0,-22.0,5.0
2021-02-03,-28.0,-16.0,-23.0,5.0
2021-02-04,-29.0,-21.0,-23.0,6.0
2021-02-05,-31.0,-22.0,-23.0,6.0
2021-02-06,-29.0,-22.0,-17.0,4.0
2021-02-07,-29.0,-21.0,-14.0,1.0
2021-02-08,-30.0,-20.0,-23.0,6.0
2021-02-09,-29.0,-20.0,-22.0,6.0
2021-02-10,-27.0,-20.0,-23.0,6.0
2021-02-11,-26.0,-20.0,-22.0,6.0
2021-02-12,-26.0,-20.0,-22.0,6.0
2021-02-13,-21.0,-17.0,-15.0,3.0
2021-02-14,-18.0,-12.0,-11.0,1.0
2021-02-15,-27.0,-18.0,-21.0,6.0
2021-02-16,-26.0,-14.0,-21.0,5.0
2021-02-17,-24.0,-16.0,-20.0,6.0
2021-02-18,-26.0,-20.0,-21.0,6.0
2021-02-19,-27.0,-17.0,-19.0,7.0
2021-02-20,-21.0,11.0,93.0,-7.0
2021-02-21,-15.0,-3.0,-6.0,-2.0
2021-02-22,-14.0,-35.0,-72.0,17.0
2021-02-23,-28.0,-46.0,-76.0,20.0
2021-02-24,-28.0,-10.0,-20.0,5.0
2021-02-25,-24.0,-11.0,-20.0,5.0
2021-02-26,-24.0,-12.0,-19.0,6.0
2021-02-27,-16.0,-8.0,-11.0,3.0
2021-02-28,-18.0,-7.0,-9.0,1.0
2021-03-01,-22.0,-12.0,-19.0,5.0
2021-03-02,-17.0,-10.0,-18.0,4.0
2021-03-03,-18.0,-10.0,-18.0,4.0
2021-03-04,-16.0,-11.0,-18.0,4.0
2021-03-05,-17.0,-8.0,-17.0,4.0
2021-03-06,-14.0,-5.0,-14.0,1.0
2021-03-07,-7.0,0.0,-7.0,-2.0
2021-03-08,-9.0,-36.0,-77.0,17.0
2021-03-09,-29.0,-17.0,-19.0,5.0
2021-03-10,-25.0,-15.0,-19.0,6.0
2021-03-11,-23.0,-14.0,-18.0,5.0
2021-03-12,-24.0,-14.0,-18.0,5.0
2021-03-13,-18.0,-8.0,-11.0,3.0
2021-03-14,-19.0,-8.0,-11.0,1.0
2021-03-15,-24.0,-11.0,-18.0,5.0
2021-03-16,-21.0,-11.0,-18.0,4.0
2021-03-17,-19.0,-10.0,-17.0,4.0
2021-03-18,-20.0,-11.0,-18.0,4.0
2021-03-19,-20.0,-10.0,-18.0,5.0
2021-03-20,-17.0,-9.0,-14.0,2.0
2021-03-21,-18.0,-5.0,-9.0,0.0
2021-03-22,-17.0,-10.0,-24.0,5.0
2021-03-23,-15.0,-9.0,-24.0,4.0
2021-03-24,-10.0,-5.0,-24.0,4.0
2021-03-25,-13.0,-9.0,-25.0,4.0
2021-03-26,-15.0,-9.0,-25.0,5.0
2021-03-27,-8.0,3.0,-18.0,-1.0
2021-03-28,-6.0,8.0,-7.0,-3.0
2021-03-29,-16.0,-7.0,-16.0,3.0
2021-03-30,-20.0,-10.0,-16.0,4.0
2021-03-31,-17.0,-9.0,-16.0,4.0
2021-04-01,-14.0,-6.0,-15.0,3.0
2021-04-02,-17.0,-8.0,-15.0,3.0
2021-04-03,-14.0,-4.0,-10.0,1.0
2021-04-04,-14.0,-3.0,-8.0,-1.0
2021-04-05,-19.0,-10.0,-15.0,4.0
2021-04-06,-18.0,-9.0,-15.0,4.0
2021-04-07,-15.0,-6.0,-16.0,3.0
2021-04-08,-16.0,-9.0,-15.0,3.0
2021-04-09,-17.0,-8.0,-15.0,3.0
2021-04-10,-11.0,-3.0,-9.0,0.0
2021-04-11,-2.0,13.0,-6.0,-5.0
2021-04-12,-10.0,0.0,-14.0,1.0
2021-04-13,-13.0,-4.0,-15.0,2.0
2021-04-14,-11.0,-3.0,-15.0,2.0
2021-04-15,-9.0,-3.0,-15.0,1.0
2021-04-16,-11.0,-2.0,-14.0,1.0
2021-04-17,-6.0,8.0,-8.0,-4.0
2021-04-18,-4.0,13.0,-6.0,-7.0
2021-04-19,-12.0,-3.0,-14.0,1.0
2021-04-20,-10.0,-1.0,-14.0,1.0
2021-04-21,-17.0,-6.0,-15.0,3.0
2021-04-22,-10.0,-3.0,-14.0,1.0
2021-04-23,-13.0,-4.0,-14.0,2.0
2021-04-24,-10.0,3.0,-3.0,-2.0
2021-04-25,-14.0,-2.0,-7.0,-3.0
2021-04-26,-18.0,-8.0,-15.0,3.0
2021-04-27,-13.0,-5.0,-15.0,2.0
2021-04-28,-10.0,-2.0,-15.0,1.0
2021-04-29,-9.0,-2.0,-14.0,0.0
2021-04-30,-8.0,3.0,-14.0,-1.0
2021-05-01,-17.0,-5.0,-32.0,-4.0
2021-05-02,-14.0,5.0,-16.0,-7.0
2021-05-03,-21.0,-38.0,-73.0,11.0
2021-05-04,-18.0,-26.0,-49.0,9.0
2021-05-05,-11.0,-18.0,-48.0,8.0
2021-05-06,-15.0,-23.0,-49.0,9.0
2021-05-07,-18.0,-21.0,-49.0,9.0
2021-05-08,-23.0,-14.0,-27.0,0.0
